name,approx,target,pred,error,scores,overall_mean_target,mean_target_in_neighborhood,mean_approx_in_neighborhood,neighborhood_size,neighborhood_size_pct,neighborhood_size_div_model_avg,entropy,uncertainty,r_centered_entropy,logk_r_centered_entropy,target_approx_consistency_in_neighborhood,pred_targets_consistency_in_neighborhood,target_targets_consistency_in_neighborhood,targets_and_approxs_consistency_in_neighborhood,target_diversity_in_neighborhood,approx_diversity_in_neighborhood,dataset,model,attack,n_test,n_classes,bacc_test
0.0,0,0,0,0,0.95383282|0.04616718,0.44363636363636366,0.0,0.0,32,11.636363636363637,1.2557077625570776,0.26988672041341877,0.26988672041341877,0.24352997858924819,0.3968009875652844,1.0,1.0,1.0,1.0,4.1305960435927445e-11,4.1305960435927445e-11,banknote,lin,org,275,2,0.9582931533269046
1.0,1,1,1,0,0.19189372|0.80810628,0.44363636363636366,0.875,0.96875,32,11.636363636363637,1.2557077625570776,0.7054162060321945,0.7054162060321945,0.1919995070295275,0.3249771448101482,0.96875,0.875,0.875,0.90625,0.5435644431995964,0.20062232431271465,banknote,lin,org,275,2,0.9582931533269046
2.0,0,0,0,0,0.59229748|0.40770252,0.44363636363636366,0.3333333333333333,0.3333333333333333,3,1.090909090909091,0.11772260273972603,0.9752783310267907,0.9752783310267907,0.4618616320241238,0.6542625082437057,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,0.9182958340544894,0.9182958340544894,banknote,lin,org,275,2,0.9582931533269046
3.0,1,1,1,0,0.22547579|0.77452421,0.44363636363636366,0.875,0.96875,32,11.636363636363637,1.2557077625570776,0.7700408301480943,0.7700408301480943,0.25662413114542737,0.41425850745981124,0.96875,0.875,0.875,0.90625,0.5435644431995964,0.20062232431271465,banknote,lin,org,275,2,0.9582931533269046
4.0,1,1,1,0,0.07992189|0.92007811,0.44363636363636366,0.96875,1.0,32,11.636363636363637,1.2557077625570776,0.40190391909765116,0.40190391909765116,0.11151277990501579,0.20132775575895565,1.0,0.96875,0.96875,0.96875,0.20062232431271465,4.1305960435927445e-11,banknote,lin,org,275,2,0.9582931533269046
5.0,1,1,0,1,0.51118318|0.48881682,0.44363636363636366,1.0,0.8571428571428571,7,2.5454545454545454,0.2746860730593607,0.9996391128668515,0.9996391128668515,0.4862224138641845,0.6792738026133043,0.8571428571428571,0.0,1.0,0.8571428571428571,4.1305960435927445e-11,0.5916727785823274,banknote,lin,org,275,2,0.9582931533269046
6.0,0,0,0,0,0.94997115|0.05002885,0.44363636363636366,0.0,0.0,32,11.636363636363637,1.2557077625570776,0.28651950055317726,0.28651950055317726,0.2268971984494897,0.3741769639537893,1.0,1.0,1.0,1.0,4.1305960435927445e-11,4.1305960435927445e-11,banknote,lin,org,275,2,0.9582931533269046
7.0,0,0,0,0,0.97656213|0.02343787,0.44363636363636366,0.0,0.0,32,11.636363636363637,1.2557077625570776,0.160330705254154,0.160330705254154,0.35308599374851296,0.5342522572924033,1.0,1.0,1.0,1.0,4.1305960435927445e-11,4.1305960435927445e-11,banknote,lin,org,275,2,0.9582931533269046
8.0,0,0,0,0,0.80986865|0.19013135,0.44363636363636366,0.0,0.0,9,3.272727272727273,0.3531678082191781,0.7017461600212833,0.7017461600212833,0.18832946101861636,0.3196594926501937,1.0,1.0,1.0,1.0,4.1305960435927445e-11,4.1305960435927445e-11,banknote,lin,org,275,2,0.9582931533269046
9.0,1,1,1,0,0.09826767|0.90173233,0.44363636363636366,1.0,1.0,1,0.36363636363636365,0.039240867579908675,0.4634800517207737,0.4634800517207737,0.04993664728189323,0.0951949864096264,1.0,1.0,1.0,1.0,4.1305960435927445e-11,4.1305960435927445e-11,banknote,lin,org,275,2,0.9582931533269046
